,id,tf
70,CREB1_HUMAN.H11MO.0.A,CREB1
71,CREB3_HUMAN.H11MO.0.D,CREB3
72,CREB5_HUMAN.H11MO.0.D,CREB5
73,CREM_HUMAN.H11MO.0.C,CREM
74,CRX_HUMAN.H11MO.0.B,CRX
75,CTCFL_HUMAN.H11MO.0.A,CTCFL
76,CTCF_HUMAN.H11MO.0.A,CTCF
77,CUX1_HUMAN.H11MO.0.C,CUX1
78,CUX2_HUMAN.H11MO.0.D,CUX2
79,CXXC1_HUMAN.H11MO.0.D,CXXC1
80,DBP_HUMAN.H11MO.0.B,DBP
81,DDIT3_HUMAN.H11MO.0.D,DDIT3
82,DLX1_HUMAN.H11MO.0.D,DLX1
83,DLX2_HUMAN.H11MO.0.D,DLX2
84,DLX3_HUMAN.H11MO.0.C,DLX3
85,DLX4_HUMAN.H11MO.0.D,DLX4
86,DLX5_HUMAN.H11MO.0.D,DLX5
87,DLX6_HUMAN.H11MO.0.D,DLX6
88,DMBX1_HUMAN.H11MO.0.D,DMBX1
89,DMRT1_HUMAN.H11MO.0.D,DMRT1
90,DPRX_HUMAN.H11MO.0.D,DPRX
91,DRGX_HUMAN.H11MO.0.D,DRGX
92,DUX4_HUMAN.H11MO.0.A,DUX4
93,DUXA_HUMAN.H11MO.0.D,DUXA
94,E2F1_HUMAN.H11MO.0.A,E2F1
95,E2F2_HUMAN.H11MO.0.B,E2F2
96,E2F3_HUMAN.H11MO.0.A,E2F3
97,E2F4_HUMAN.H11MO.0.A,E2F4
98,E2F4_HUMAN.H11MO.1.A,E2F4
99,E2F5_HUMAN.H11MO.0.B,E2F5
100,E2F6_HUMAN.H11MO.0.A,E2F6
101,E2F7_HUMAN.H11MO.0.B,E2F7
102,E2F8_HUMAN.H11MO.0.D,E2F8
103,E4F1_HUMAN.H11MO.0.D,E4F1
104,EGR1_HUMAN.H11MO.0.A,EGR1
105,EGR2_HUMAN.H11MO.0.A,EGR2
106,EGR2_HUMAN.H11MO.1.A,EGR2
107,EGR3_HUMAN.H11MO.0.D,EGR3
108,EGR4_HUMAN.H11MO.0.D,EGR4
109,EHF_HUMAN.H11MO.0.B,EHF
110,ELF1_HUMAN.H11MO.0.A,ELF1
111,ELF2_HUMAN.H11MO.0.C,ELF2
112,ELF3_HUMAN.H11MO.0.A,ELF3
113,ELF5_HUMAN.H11MO.0.A,ELF5
